# 1060 طبيب

Dr. R Prasada Reddy | AIG Hospitals, Gachibowli Hyderabad | أمراض القلب | Cardiology
Dr. Trisha Srivastava | Artemis Hospital, Delhi | أنف وأذن وحنجرة | ENT
Dr. Dilpreet Bajwa | Artemis Hospital, Delhi | أنف وأذن وحنجرة | ENT Surgery
Dr. Poonam Gautam | Artemis Hospital, Delhi | أنف وأذن وحنجرة | ENT Surgery
Dr. Shashidhar TB | Artemis Hospital, Delhi | أنف وأذن وحنجرة | ENT Surgery
Dr. Sameer Mehrotra | Artemis Hospital, Delhi | كهروفسيولوجيا القلب | Electrophysiology & Interventional Cardiology
Dr. Rajesh Kumar Singh | Artemis Hospital, Delhi | الطوارئ | Emergency & Trauma
Dr. (Col) Suvasish Chakraberty | Artemis Hospital, Delhi | الطوارئ | Emergency & Trauma Services
Dr. Anjana Kharbanda | Artemis Hospital, Delhi | الطوارئ | Emergency & Trauma Services
Dr. Ellora Nanda | Artemis Hospital, Delhi | الطوارئ | Emergency & Trauma Services
Dr. Yatin Kukreja | Artemis Hospital, Delhi | الطوارئ | Emergency & Trauma Services
Dr. Dheeraj Kapoor | Artemis Hospital, Delhi | سكري وغدد | Endocrinology
Dr. Ashutosh Gupta | Artemis Hospital, Delhi | طب الأجنة والوراثة | Fetal Medicine & Genetics
Dr. Bimal Kumar Sahu | Artemis Hospital, Delhi | الجهاز الهضمي | Gastroenterology / GI Surgery
Dr. M.A Mir | Artemis Hospital, Delhi | الجهاز الهضمي | Gastroenterology / GI Surgery
Dr. Hitender Singh Chauhan | Artemis Hospital, Delhi | جراحة عامة ومناظير | General & Minimally Invasive Surgery
Dr. Kanika Singh | Artemis Hospital, Delhi | الوراثة | Genetics
Dr. Meenal Thakral | Artemis Hospital, Delhi | طب الشيخوخة | Geriatric Medicine
Dr. Prasun Chatterjee | Artemis Hospital, Delhi | طب الشيخوخة | Geriatric Medicine
Dr. Nutan Agarwal | Artemis Hospital, Delhi | غدد نسائية | Gynaecological Endocrinology
Dr. Amita Naithani | Artemis Hospital, Delhi | أورام النساء | Gynaecological Oncology
Dr. Rupinder Sekhon | Artemis Hospital, Delhi | أورام نسائية | Gynaecological Oncology
Dr. Biswarup Purkayastha | Artemis Hospital, Delhi | زراعة القلب والرئة | Heart & Lung Transplant
Dr. Gaurav Dixit | Artemis Hospital, Delhi | أمراض الدم وزراعة نخاع | Hematology & BMT
Dr. Lalit Kumar | Artemis Hospital, Delhi | أمراض الدم و BMT | Hematology & BMT
Dr. Rahul Naithani | Artemis Hospital, Delhi | أمراض الدم وBMT | Hematology & BMT
Dr. Gajanand Yadav | Artemis Hospital, Delhi | استبدال مفاصل | Hip & Knee Arthroplasty
Dr. Jeetendra Sharma | Artemis Hospital, Delhi | العناية المركزة | ICU / Critical Care
Dr. Kuldeep Singh | Artemis Hospital, Delhi | العناية المركزة | ICU / Critical Care
Dr. Mukesh Kumar Gupta | Artemis Hospital, Delhi | العناية المركزة | ICU / Critical Care
Dr. Rati Bansal Goel | Artemis Hospital, Delhi | عناية مركزة | ICU / Critical Care
Dr. Reshma Tewari | Artemis Hospital, Delhi | عناية مركزة | ICU / Critical Care
Dr. Kiran Arora | Artemis Hospital, Delhi | أطفال الأنابيب | IVF & Reproductive Medicine
Dr. Parul Prakash | Artemis Hospital, Delhi | أطفال الأنابيب | IVF & Reproductive Medicine
Dr. Sarabpreet Singh | Artemis Hospital, Delhi | أطفال الأنابيب | IVF & Reproductive Medicine
Dr. Arpit Jain | Artemis Hospital, Delhi | طب باطني | Internal Medicine
Dr. P Venkata Krishnan | Artemis Hospital, Delhi | طب باطني | Internal Medicine
Dr. Seema Dhir | Artemis Hospital, Delhi | طب باطني | Internal Medicine
Dr. Kuldeep Arora | Artemis Hospital, Delhi | أمراض القلب التداخلية | Interventional Cardiology
Dr. Sushant Mishra | Artemis Hospital, Delhi | قلب تداخلي | Interventional Cardiology
Dr. Amit Kumar Chaurasia | Artemis Hospital, Delhi | أمراض القلب التداخلية | Interventional Cardiology & Structural Heart
Dr. Gaurav Singhal | Artemis Hospital, Delhi | زراعة الكلى | Kidney Transplant & Nephrology
Dr. Lakshmi Kant Tripathi | Artemis Hospital, Delhi | زراعة الكلى | Kidney Transplant & Nephrology
Dr. Manju Aggarwal | Artemis Hospital, Delhi | زراعة الكلى | Kidney Transplant & Nephrology
Dr. Kunal Vinayak | Artemis Hospital, Delhi | زراعة الكلى والمسالك | Kidney Transplant & Urology
Dr. Varun Mittal | Artemis Hospital, Delhi | زراعة الكلى والمسالك | Kidney Transplant & Urology
Dr. Deepa Goel | Artemis Hospital, Delhi | طب المختبرات | Laboratory Medicine
Dr. Namita Jaggi | Artemis Hospital, Delhi | طب المختبرات | Laboratory Medicine
Dr. Nandini Vasdev | Artemis Hospital, Delhi | طب المختبرات | Laboratory Medicine
Dr. Ritika Singla | Artemis Hospital, Delhi | طب المختبرات | Laboratory Medicine
Dr. Vineeta Raina | Artemis Hospital, Delhi | طب المختبرات | Laboratory Services
Dr. Giriraj Bora | Artemis Hospital, Delhi | زراعة الكبد | Liver Transplant
Dr. Shyam Sunder Mahansaria | Artemis Hospital, Delhi | زراعة الكبد | Liver Transplant
Dr. Puneet Dwevedi | Artemis Hospital, Delhi | الصحة النفسية | Mental Health
Dr. Rahul Chandhok | Artemis Hospital, Delhi | الصحة النفسية | Mental Health
Dr. Chandrima Misra Mukherjee | Artemis Hospital, Delhi | الصحة النفسية | Mental Health & Behavioural Sciences
Dr. Manjul Bawa | Artemis Hospital, Delhi | جراحة عامة ومناظير وروبوت | Minimally Invasive & Robotic Surgery
Dr. Paritosh S Gupta | Artemis Hospital, Delhi | جراحة عامة ومناظير | Minimally Invasive Surgery
Dr. Rakesh Durkhure | Artemis Hospital, Delhi | جراحة مناظير | Minimally Invasive Surgery
Dr. Suresh Kumar Chhabra | Artemis Hospital, Delhi | جراحة مناظير | Minimally Invasive Surgery
Dr. Dinesh Bansal | Artemis Hospital, Delhi | أمراض الكلى | Nephrology
Dr. Deepak Solanki | Artemis Hospital, Delhi | العناية المركزة العصبية | Neuro Critical Care
Dr. Raman Deep Kaur | Artemis Hospital, Delhi | عناية مركزة عصبية | Neuro Critical Care
Dr. Saurabh Anand | Artemis Hospital, Delhi | عناية مركزة عصبية | Neuro Critical Care
Dr. Seema Lachala | Artemis Hospital, Delhi | عناية مركزة عصبية | Neuro Critical Care
Dr. Sweetha Susanne Mohan | Artemis Hospital, Delhi | عناية مركزة عصبية | Neuro Critical Care
Dr. Ashish Chakravarty | Artemis Hospital, Delhi | العناية المركزة العصبية | Neuroanaesthesia & Neuro Critical Care
Dr. Mukesh Kumar | Artemis Hospital, Delhi | جراحة الأعصاب التداخلية | Neurointerventional Surgery
Dr. Tariq Matin | Artemis Hospital, Delhi | جراحة عصبية تداخلية | Neurointerventional Surgery
Dr. Mohit Anand | Artemis Hospital, Delhi | طب الأعصاب | Neurology
Dr. Sameer Arora | Artemis Hospital, Delhi | طب الأعصاب | Neurology
Dr. Sumit Singh | Artemis Hospital, Delhi | طب الأعصاب | Neurology
Dr. Vivek Barun | Artemis Hospital, Delhi | طب الأعصاب | Neurology
Dr. Aditya Gupta | Artemis Hospital, Delhi | جراحة المخ والأعصاب | Neurosurgery
Dr. Anuvrat Sinha | Artemis Hospital, Delhi | جراحة المخ والأعصاب | Neurosurgery
Dr. Pawan Goyal | Artemis Hospital, Delhi | جراحة المخ والأعصاب | Neurosurgery
Dr. Sanjeev Srivastava | Artemis Hospital, Delhi | جراحة المخ والأعصاب | Neurosurgery
Dr. Noaline Sinha | Artemis Hospital, Delhi | طب نووي | Nuclear Medicine
Dr. Tajamul Syed Malik | Artemis Hospital, Delhi | طب نووي | Nuclear Medicine
Dr. Shabana Parveen | Artemis Hospital, Delhi | تغذية علاجية | Nutrition & Dietetics
Dr. Deepa Maheshwari | Artemis Hospital, Delhi | نساء وولادة | Obstetrics & Gynaecology
Dr. Nidhi Jain | Artemis Hospital, Delhi | نساء وولادة | Obstetrics & Gynaecology
Dr. Nidhi Rajotia | Artemis Hospital, Delhi | نساء وولادة | Obstetrics & Gynaecology
Dr. Renu Raina Sehgal | Artemis Hospital, Delhi | نساء وولادة | Obstetrics & Gynaecology
Dr. Seerat Sandhu | Artemis Hospital, Delhi | نساء وولادة | Obstetrics & Gynaecology
Dr. Biswajyoti Hazarika | Artemis Hospital, Delhi | الأورام | Oncology
Dr. Kamal Verma | Artemis Hospital, Delhi | الأورام | Oncology
Dr. Preeti Vijayakumaran | Artemis Hospital, Delhi | أورام | Oncology
Dr. Priya Tiwari | Artemis Hospital, Delhi | أورام | Oncology
Dr. Priyanka Raina | Artemis Hospital, Delhi | أورام | Oncology
Dr. S Jayalakshmi | Artemis Hospital, Delhi | أورام | Oncology
Dr. Sandeep Goel | Artemis Hospital, Delhi | أورام | Oncology
Dr. Subodh Chandra Pande | Artemis Hospital, Delhi | أورام | Oncology
Dr. Parveen Yadav | Artemis Hospital, Delhi | جراحة أورام | Oncology Surgery
Dr. Vishal Arora | Artemis Hospital, Delhi | طب العيون | Ophthalmology
Dr. Abhinandan Mukhopadhyay | Artemis Hospital, Delhi | زراعة الأعضاء والمسالك | Organ Transplant & Urology
Dr. (Prof.) Ravi Sauhta | Artemis Hospital, Delhi | جراحة العظام | Orthopaedics
Dr. Devendra Singh Solanki | Artemis Hospital, Delhi | جراحة العظام | Orthopaedics
Dr. Devendra Yadav | Artemis Hospital, Delhi | جراحة العظام | Orthopaedics
Dr. Mohd Irfan Banday | Artemis Hospital, Delhi | جراحة العظام | Orthopaedics
Dr. Sandeep Chauhan | Artemis Hospital, Delhi | جراحة عظام | Orthopaedics
Dr. Vipin Maheshwari | Artemis Hospital, Delhi | جراحة العظام | Orthopaedics
Dr. Vivek Vaibhav | Artemis Hospital, Delhi | جراحة العظام | Orthopaedics
Dr. Aseem R. Srivastava | Artemis Hospital, Delhi | قلب أطفال وجراحة قلب | Paediatric Cardiac Surgery & Cardiology
Dr. Nidhi Rawal | Artemis Hospital, Delhi | قلب أطفال | Paediatric Cardiology
Dr. Shubhra Shri Gupta | Artemis Hospital, Delhi | قلب أطفال | Paediatric Cardiology
Dr. Sumeet Arora | Artemis Hospital, Delhi | غدد أطفال ومراهقين | Paediatric Endocrinology
Dr. Sakshi Karkra | Artemis Hospital, Delhi | جهاز هضمي أطفال | Paediatric Gastroenterology & Hepatology
Dr. Sukriti Gupta | Artemis Hospital, Delhi | أمراض الدم وزراعة نخاع للأطفال | Paediatric Haemato-Oncology & BMT
Dr. Anju Singh | Artemis Hospital, Delhi | أمراض الدم وروماتيزم الأطفال | Paediatric Haemato-Oncology & Rheumatology
Dr. Ajit Singh Baghela | Artemis Hospital, Delhi | طب أعصاب الأطفال | Paediatric Neurology
Dr. Sanjay Sarup | Artemis Hospital, Delhi | جراحة أطفال وعمود فقري | Paediatric Orthopaedics & Spine Surgery
Dr. Nitin Goel | Artemis Hospital, Delhi | جراحة الأطفال | Paediatric Surgery
Dr. Hemant K. Gogia | Artemis Hospital, Delhi | طب أطفال | Paediatrics
Dr. Padam Yadav | Artemis Hospital, Delhi | طب أطفال | Paediatrics
Dr. Prabhat Maheshwari | Artemis Hospital, Delhi | طب أطفال | Paediatrics
Dr. Rajiv Chhabra | Artemis Hospital, Delhi | طب أطفال | Paediatrics
Dr. Ashu Kumar Jain | Artemis Hospital, Delhi | طب الألم | Pain Medicine & Palliative Care
Dr. Sachin Sethi | Artemis Hospital, Delhi | علاج طبيعي | Physiotherapy & Rehab
Dr. Anjali Vaish | Artemis Hospital, Delhi | العلاج الطبيعي وإعادة التأهيل | Physiotherapy & Rehabilitation
Dr. Arun Chowdary Kotaru | Artemis Hospital, Delhi | أمراض الصدر | Pulmonology
Dr. Shweta Bansal | Artemis Hospital, Delhi | أمراض الصدر | Pulmonology
Dr. Aditi Dixit | Artemis Hospital, Delhi | أشعة | Radiology
Dr. Gurpreet Makkar | Artemis Hospital, Delhi | أشعة | Radiology
Dr. Rajiv Sharma | Artemis Hospital, Delhi | أشعة | Radiology
Dr. Sanjay Mehta | Artemis Hospital, Delhi | أشعة | Radiology
Dr. Syed Tauqueer Fazal | Artemis Hospital, Delhi | أشعة | Radiology
Dr. Sumeet Agrawal | Artemis Hospital, Delhi | روماتيزم ومناعة | Rheumatology & Clinical Immunology
Dr. Tapan Singh Chauhan | Artemis Hospital, Delhi | أورام روبوتية | Robotic Oncology Surgery
Dr. I P S Oberoi | Artemis Hospital, Delhi | جراحة روبوتية للعظام | Robotic Orthopaedic Surgery
Dr. Ramkinkar Jha | Artemis Hospital, Delhi | جراحة روبوتية للعظام | Robotic Orthopaedic Surgery
